Month,Borough,Community District (CD),Borough Consultation Total SNAP Recipients,Borough Consultation Total SNAP Households,Borough Consultation Total Cash Assistance Recipients,Borough Consultation Total Cash Assistance Cases,Borough Consultation Total Medicaid Only Enrollees,Borough Consultation Total Medicaid Enrollees
03/01/2020,Manhattan,M08,5218,4164,729,560,3982,6516
03/01/2020,Manhattan,M09,20339,13475,4577,2875,8511,18787
03/01/2020,Manhattan,M10,28931,18788,7559,4786,10238,25666
03/01/2020,Manhattan,M11,39350,24851,9547,5744,14257,35508
03/01/2020,Manhattan,M12,41300,28799,5886,3913,20571,38982
03/01/2020,Queens,Q01,20896,12771,3836,2302,15495,24223
03/01/2020,Queens,Q02,9720,6212,1542,1048,10986,14559
03/01/2020,Queens,Q03,21029,12324,2418,1570,22366,28013
03/01/2020,Queens,Q04,22450,13300,2479,1626,24359,30719
03/01/2020,Queens,Q05,16273,9685,1831,1173,13318,18113
03/01/2020,Queens,Q06,9248,6653,689,501,8089,11889
03/01/2020,Queens,Q07,24845,16613,3558,2469,31390,40805
03/01/2020,Queens,Q08,16125,9969,2756,1770,14775,21457
03/01/2020,Queens,Q09,19214,11370,2832,1770,14832,21586
03/01/2020,Queens,Q10,14519,8898,2217,1334,10622,15959
03/01/2020,Queens,Q11,6524,4431,743,523,8896,11180
03/01/2020,Queens,Q12,40088,24661,9134,5417,21945,39638
03/01/2020,Queens,Q13,17835,11660,3228,2164,13041,20331
03/01/2020,Queens,Q14,27358,15004,7520,3490,11215,27190
03/01/2020,Staten_Island,S01,34592,18454,10700,4993,14931,34534
03/01/2020,Staten_Island,S02,13789,8187,2379,1316,11077,17276
03/01/2020,Staten_Island,S03,9553,6129,1302,792,7924,11610
06/01/2020,Bronx,B01,45637,24832,14005,7385,12695,38103
06/01/2020,Bronx,B02,22420,12426,6980,3601,5775,18608
06/01/2020,Bronx,B03,43317,23789,13841,7356,10762,35196
06/01/2020,Bronx,B04,56155,31479,16329,8439,17044,46426
06/01/2020,Bronx,B05,54815,30212,17083,8915,14869,44228
06/01/2020,Bronx,B06,39679,21713,14410,7226,9079,33648
06/01/2020,Bronx,B07,46703,26848,13556,7296,15035,39124
06/01/2020,Bronx,B08,17567,10506,3799,2016,7716,15877
06/01/2020,Bronx,B09,54171,29984,15247,7681,18361,46084
06/01/2020,Bronx,B10,19215,11713,4313,2296,8247,17140
06/01/2020,Bronx,B11,24988,14618,6488,3472,10295,23148
06/01/2020,Bronx,B12,38867,21459,13643,6880,11799,34294
06/01/2020,Brooklyn,K01,52201,21241,7432,3030,30640,44903
06/01/2020,Brooklyn,K02,14123,9614,3464,2229,5872,13118
06/01/2020,Brooklyn,K03,45155,24965,10778,5794,16611,36826
06/01/2020,Brooklyn,K04,24696,15570,4493,2622,9813,20449
06/01/2020,Brooklyn,K05,65389,37915,15338,8139,21154,50066
06/01/2020,Brooklyn,K06,11010,7289,2244,1432,4533,9876
06/01/2020,Brooklyn,K07,20917,12648,3131,1902,17081,24946
06/01/2020,Brooklyn,K08,20630,13608,5380,3334,7402,17907
06/01/2020,Brooklyn,K09,21313,13145,4296,2622,9494,18170
06/01/2020,Brooklyn,K10,17758,10583,2278,1387,13929,20196
06/01/2020,Brooklyn,K11,35284,21152,3466,2056,26381,39954
06/01/2020,Brooklyn,K12,61108,20089,10572,2727,42044,59166
06/01/2020,Brooklyn,K13,32014,21398,5500,2827,14037,32311
06/01/2020,Brooklyn,K14,30806,18449,4884,2842,17015,29198
06/01/2020,Brooklyn,K15,28044,17558,3450,1921,17823,30111
06/01/2020,Brooklyn,K16,38889,22149,12725,6452,9507,31414
06/01/2020,Brooklyn,K17,31527,20294,8277,4966,12307,27058
06/01/2020,Brooklyn,K18,30261,18310,5973,3291,14453,27258
06/01/2020,Manhattan,M01,2280,1807,669,543,1389,2790
06/01/2020,Manhattan,M02,2912,2362,366,343,2299,3450
06/01/2020,Manhattan,M03,37082,25467,6938,4648,20075,38720
06/01/2020,Manhattan,M04,12539,9382,3450,2560,5237,12251
06/01/2020,Manhattan,M05,6165,4171,2955,1833,1521,6392
06/01/2020,Manhattan,M06,5326,4568,1279,1154,2759,5578
06/01/2020,Manhattan,M07,16785,12440,3959,2809,7382,16385
06/01/2020,Manhattan,M08,5758,4515,980,751,4000,6832
06/01/2020,Manhattan,M09,22436,14766,5436,3412,8402,19508
06/01/2020,Manhattan,M10,31343,20295,8573,5415,10119,26480
06/01/2020,Manhattan,M11,42554,26742,10927,6617,14155,36765
06/01/2020,Manhattan,M12,45712,31442,7151,4757,20153,39916
06/01/2020,Queens,Q01,23598,14255,4714,2833,15307,25170
06/01/2020,Queens,Q02,11059,6956,2003,1266,10823,15007
06/01/2020,Queens,Q03,24106,13884,3055,1920,21817,28431
06/01/2020,Queens,Q04,25613,14884,3205,2017,23956,31371
06/01/2020,Queens,Q05,19173,11268,2529,1595,13130,18743
06/01/2020,Queens,Q06,10437,7238,988,677,8118,12327
06/01/2020,Queens,Q07,27266,17848,4305,2886,30867,41584
06/01/2020,Queens,Q08,18376,11043,3469,2118,14534,22105
06/01/2020,Queens,Q09,22539,13053,3850,2280,14570,22450
06/01/2020,Queens,Q10,16714,10036,2911,1704,10521,16597
06/01/2020,Queens,Q11,7279,4848,953,640,8767,11402
06/01/2020,Queens,Q12,45667,27581,11178,6559,21542,41392
06/01/2020,Queens,Q13,20743,13267,4405,2811,12867,21397
06/01/2020,Queens,Q14,29808,16209,8447,3940,11101,27862
06/01/2020,Staten_Island,S01,38088,20244,11752,5568,14711,35648
06/01/2020,Staten_Island,S02,15293,8931,2793,1546,10900,17727
06/01/2020,Staten_Island,S03,10946,6853,1687,1004,7843,12138
09/01/2020,Bronx,B01,47212,25740,14342,7624,12972,38327
09/01/2020,Bronx,B02,23150,12855,7185,3708,5902,18717
09/01/2020,Bronx,B03,45086,24750,14328,7647,10997,35403
09/01/2020,Bronx,B04,58248,32582,16751,8681,17417,46698
09/01/2020,Bronx,B05,56964,31471,17620,9251,15194,44488
09/01/2020,Bronx,B06,40944,22427,14718,7412,9277,33846
09/01/2020,Bronx,B07,48615,27942,13813,7474,15363,39354
09/01/2020,Bronx,B08,18344,10971,3892,2065,7884,15971
09/01/2020,Bronx,B09,56722,31336,15807,8008,18761,46355
09/01/2020,Bronx,B10,20119,12173,4462,2374,8427,17241
09/01/2020,Bronx,B11,26117,15220,6651,3565,10520,23284
09/01/2020,Bronx,B12,40805,22463,14214,7171,12057,34496
09/01/2020,Brooklyn,K01,53243,21872,7698,3142,31309,45167
09/01/2020,Brooklyn,K02,14517,9883,3559,2271,6000,13195
09/01/2020,Brooklyn,K03,46697,25904,11109,5992,16974,37043
09/01/2020,Brooklyn,K04,25812,16297,4691,2718,10027,20569
09/01/2020,Brooklyn,K05,67886,39365,15989,8523,21615,50361
09/01/2020,Brooklyn,K06,11464,7584,2412,1527,4632,9934
09/01/2020,Brooklyn,K07,21759,13160,3274,2025,17454,25093
09/01/2020,Brooklyn,K08,21157,14040,5577,3436,7564,18012
09/01/2020,Brooklyn,K09,22023,13644,4507,2779,9702,18277
09/01/2020,Brooklyn,K10,18480,10988,2343,1444,14233,20315
09/01/2020,Brooklyn,K11,36796,21874,3592,2133,26957,40189
09/01/2020,Brooklyn,K12,62525,20597,10955,2849,42962,59513
09/01/2020,Brooklyn,K13,32606,21761,5631,2906,14344,32501
09/01/2020,Brooklyn,K14,32143,19171,5124,2990,17386,29370
09/01/2020,Brooklyn,K15,28671,17944,3554,1984,18212,30289
09/01/2020,Brooklyn,K16,40015,22838,13014,6591,9715,31599
09/01/2020,Brooklyn,K17,32954,21224,8526,5144,12576,27217
09/01/2020,Brooklyn,K18,31455,19046,6162,3425,14768,27418
09/01/2020,Manhattan,M01,2276,1799,644,511,1419,2807
09/01/2020,Manhattan,M02,2994,2438,381,354,2349,3470
09/01/2020,Manhattan,M03,37879,26041,7219,4826,20513,38948
09/01/2020,Manhattan,M04,13035,9802,3509,2653,5352,12323
09/01/2020,Manhattan,M05,6159,4317,3021,1925,1554,6430
09/01/2020,Manhattan,M06,5550,4773,1364,1241,2820,5611
09/01/2020,Manhattan,M07,17310,12817,4176,2947,7543,16481
09/01/2020,Manhattan,M08,6009,4680,1049,788,4087,6872
09/01/2020,Manhattan,M09,23273,15315,5744,3616,8586,19622
09/01/2020,Manhattan,M10,32474,20991,8934,5672,10340,26636
09/01/2020,Manhattan,M11,43970,27654,11530,7004,14464,36981
09/01/2020,Manhattan,M12,47223,32431,7463,4972,20593,40150
09/01/2020,Queens,Q01,24865,14936,5009,3009,15641,25318
09/01/2020,Queens,Q02,11731,7355,2115,1338,11059,15095
09/01/2020,Queens,Q03,25576,14672,3207,2024,22293,28598
09/01/2020,Queens,Q04,27250,15787,3434,2154,24480,31555
09/01/2020,Queens,Q05,20237,11840,2603,1664,13417,18853
09/01/2020,Queens,Q06,10780,7395,1034,705,8296,12400
09/01/2020,Queens,Q07,28354,18494,4436,2983,31541,41830
09/01/2020,Queens,Q08,19237,11464,3505,2145,14851,22235
09/01/2020,Queens,Q09,23776,13674,3930,2333,14888,22582
09/01/2020,Queens,Q10,17636,10528,2966,1759,10751,16694
09/01/2020,Queens,Q11,7626,5033,974,659,8958,11469
09/01/2020,Queens,Q12,47792,28803,11497,6754,22012,41635
09/01/2020,Queens,Q13,22301,14059,4646,2951,13148,21522
09/01/2020,Queens,Q14,30889,16829,8782,4122,11343,28026
09/01/2020,Staten_Island,S01,39400,20918,12192,5725,15033,35858
09/01/2020,Staten_Island,S02,15810,9214,2847,1573,11138,17831
09/01/2020,Staten_Island,S03,11396,7091,1721,1027,8014,12209
12/01/2020,Bronx,B01,45563,24989,13868,7317,13703,38156
12/01/2020,Bronx,B02,22329,12438,7005,3577,6288,18619
12/01/2020,Bronx,B03,43446,23953,13859,7333,11775,35393
12/01/2020,Bronx,B04,55972,31491,15982,8184,18297,46101
12/01/2020,Bronx,B05,54750,30436,16787,8762,16055,44150
12/01/2020,Bronx,B06,39669,21738,14114,7086,9986,33576
12/01/2020,Bronx,B07,47059,27206,13322,7152,16092,39167
12/01/2020,Bronx,B08,17915,10761,3642,1933,8144,15930
12/01/2020,Bronx,B09,54999,30515,15314,7661,19626,46621
12/01/2020,Bronx,B10,19741,12008,4285,2275,8834,17419
12/01/2020,Bronx,B11,25471,14864,6352,3357,10845,23138
12/01/2020,Bronx,B12,39777,21969,13869,6930,12986,34966
12/01/2020,Brooklyn,K01,51257,21182,7578,3032,31044,44718
12/01/2020,Brooklyn,K02,13870,9515,3444,2173,6212,13114
12/01/2020,Brooklyn,K03,43981,24535,10543,5604,17434,36562
12/01/2020,Brooklyn,K04,24490,15670,4353,2521,10364,20395
12/01/2020,Brooklyn,K05,64642,37679,15258,8038,22708,50370
12/01/2020,Brooklyn,K06,11243,7401,2441,1521,4794,10101
12/01/2020,Brooklyn,K07,21162,12911,3145,1942,17234,24662
12/01/2020,Brooklyn,K08,19928,13254,5325,3230,7894,17819
12/01/2020,Brooklyn,K09,20863,13093,4268,2613,10070,18315
12/01/2020,Brooklyn,K10,18082,10778,2287,1413,14276,20262
12/01/2020,Brooklyn,K11,35835,21477,3401,2030,26795,39657
12/01/2020,Brooklyn,K12,59486,19831,10975,2798,42253,58659
12/01/2020,Brooklyn,K13,31600,21215,5438,2793,14601,32078
12/01/2020,Brooklyn,K14,31096,18663,4858,2833,17673,29339
12/01/2020,Brooklyn,K15,27676,17471,3315,1865,18203,29836
12/01/2020,Brooklyn,K16,37370,21604,12522,6327,10559,31394
12/01/2020,Brooklyn,K17,31428,20375,8093,4886,13467,27443
12/01/2020,Brooklyn,K18,29904,18219,5744,3180,15416,27517
12/01/2020,Manhattan,M01,2211,1709,602,470,1436,2758
12/01/2020,Manhattan,M02,2963,2407,384,351,2422,3525
12/01/2020,Manhattan,M03,36972,25354,7041,4614,20612,38580
12/01/2020,Manhattan,M04,12912,9703,3498,2655,5748,12594
12/01/2020,Manhattan,M05,6014,4257,2920,1903,1695,6445
12/01/2020,Manhattan,M06,5383,4582,1313,1187,2993,5749
12/01/2020,Manhattan,M07,16999,12550,4070,2865,7814,16566
12/01/2020,Manhattan,M08,5950,4637,1020,763,4223,6971
12/01/2020,Manhattan,M09,22386,14826,5354,3369,8881,19499
12/01/2020,Manhattan,M10,30998,20155,8446,5324,11043,26459
12/01/2020,Manhattan,M11,42630,26858,11302,6786,15056,36792
12/01/2020,Manhattan,M12,45845,31591,7227,4761,21270,40122
12/01/2020,Queens,Q01,24107,14563,4751,2828,16087,25708
12/01/2020,Queens,Q02,11522,7216,1983,1279,11228,15297
12/01/2020,Queens,Q03,24765,14250,3074,1955,22345,28765
12/01/2020,Queens,Q04,26564,15373,3311,2077,24569,31964
12/01/2020,Queens,Q05,19649,11574,2427,1549,13707,19112
12/01/2020,Queens,Q06,10659,7307,958,657,8417,12447
12/01/2020,Queens,Q07,27903,18278,4233,2869,31632,41912
12/01/2020,Queens,Q08,18747,11224,3216,1963,15102,22185
12/01/2020,Queens,Q09,23229,13415,3565,2162,15369,22851
12/01/2020,Queens,Q10,17104,10332,2731,1637,11047,16795
12/01/2020,Queens,Q11,7591,4996,929,625,9041,11551
12/01/2020,Queens,Q12,45928,27735,10800,6334,23270,42374
12/01/2020,Queens,Q13,21922,13756,4357,2770,13908,22465
12/01/2020,Queens,Q14,29379,16221,8508,3969,11989,28353
12/01/2020,Staten_Island,S01,38258,20359,11884,5502,15753,36071
12/01/2020,Staten_Island,S02,15478,9027,2692,1474,11445,17946
12/01/2020,Staten_Island,S03,11284,7013,1583,943,8224,12313
03/01/2021,Bronx,B01,46370,25389,13689,7243,14548,38670
03/01/2021,Bronx,B02,23080,12763,7103,3611,6777,19319
03/01/2021,Bronx,B03,44548,24520,13683,7262,12661,36044
03/01/2021,Bronx,B04,57383,32221,15665,8087,19361,46805
03/01/2021,Bronx,B05,55977,31101,16622,8616,16953,44858
03/01/2021,Bronx,B06,40500,22131,14100,7048,10777,34339
03/01/2021,Bronx,B07,48114,27742,12947,6982,16824,39660
03/01/2021,Bronx,B08,18337,10989,3672,1958,8324,16118
03/01/2021,Bronx,B09,56588,31320,15364,7685,20472,47516
03/01/2021,Bronx,B10,20358,12349,4305,2304,9180,17896
03/01/2021,Bronx,B11,26180,15219,6436,3384,11273,23623
03/01/2021,Bronx,B12,40884,22526,13820,6886,13847,35840
03/01/2021,Brooklyn,K01,52233,21536,7716,3043,31294,45395
03/01/2021,Brooklyn,K02,14337,9789,3551,2223,6429,13411
03/01/2021,Brooklyn,K03,45014,25102,10631,5670,18086,37191
03/01/2021,Brooklyn,K04,25096,16038,4538,2597,10815,20924
03/01/2021,Brooklyn,K05,66213,38486,15296,8020,24030,51592
03/01/2021,Brooklyn,K06,11626,7616,2509,1527,4957,10446
03/01/2021,Brooklyn,K07,21577,13243,3358,2129,17479,25120
03/01/2021,Brooklyn,K08,20524,13578,5289,3180,8358,18300
03/01/2021,Brooklyn,K09,21296,13315,4275,2646,10397,18696
03/01/2021,Brooklyn,K10,18515,11011,2344,1440,14469,20559
03/01/2021,Brooklyn,K11,36875,21909,3414,2044,27092,40153
03/01/2021,Brooklyn,K12,61787,20429,11185,2858,42806,59655
03/01/2021,Brooklyn,K13,31920,21324,5331,2704,14978,32252
03/01/2021,Brooklyn,K14,31951,19020,4926,2872,18029,29780
03/01/2021,Brooklyn,K15,28204,17657,3264,1835,18498,30171
03/01/2021,Brooklyn,K16,38928,22331,12549,6316,11330,32255
03/01/2021,Brooklyn,K17,32384,20974,8168,4953,14271,28299
03/01/2021,Brooklyn,K18,30444,18618,5766,3209,16048,28236
03/01/2021,Manhattan,M01,2219,1682,511,391,1471,2757
03/01/2021,Manhattan,M02,3035,2459,391,362,2441,3579
03/01/2021,Manhattan,M03,37580,25682,6925,4530,20978,39023
03/01/2021,Manhattan,M04,13424,10043,3585,2740,5981,13045
03/01/2021,Manhattan,M05,6031,4332,2771,1872,1758,6385
03/01/2021,Manhattan,M06,5469,4642,1309,1185,3060,5868
03/01/2021,Manhattan,M07,17394,12819,4225,2935,8070,17000
03/01/2021,Manhattan,M08,6105,4746,1078,811,4344,7188
03/01/2021,Manhattan,M09,23008,15169,5489,3403,9157,19878
03/01/2021,Manhattan,M10,31502,20380,8311,5235,11570,26906
03/01/2021,Manhattan,M11,43180,27126,11449,6784,15522,37374
03/01/2021,Manhattan,M12,46906,32133,7141,4680,21714,40587
03/01/2021,Queens,Q01,24993,15047,4657,2831,16473,26209
03/01/2021,Queens,Q02,11846,7379,1935,1243,11487,15580
03/01/2021,Queens,Q03,25330,14587,3062,1945,22840,29378
03/01/2021,Queens,Q04,27511,15867,3250,2048,25036,32568
03/01/2021,Queens,Q05,20180,11916,2362,1536,14044,19533
03/01/2021,Queens,Q06,10875,7405,944,650,8533,12638
03/01/2021,Queens,Q07,28863,18855,4310,2932,32043,42586
03/01/2021,Queens,Q08,19394,11499,3133,1912,15447,22625
03/01/2021,Queens,Q09,23940,13834,3671,2229,15757,23366
03/01/2021,Queens,Q10,17841,10712,2722,1632,11426,17259
03/01/2021,Queens,Q11,7868,5154,963,644,9162,11765
03/01/2021,Queens,Q12,47144,28382,10714,6288,24138,43261
03/01/2021,Queens,Q13,22504,14033,4350,2764,14392,22868
03/01/2021,Queens,Q14,30355,16584,8212,3849,12542,28733
03/01/2021,Staten_Island,S01,38964,20751,11700,5491,16545,36804
03/01/2021,Staten_Island,S02,15985,9256,2737,1513,11696,18321
03/01/2021,Staten_Island,S03,11368,7085,1612,968,8449,12600
06/01/2021,Bronx,B01,46929,25890,13327,7029,15110,38800
06/01/2021,Bronx,B02,23648,13182,6930,3505,7034,19522
06/01/2021,Bronx,B03,45183,25123,13189,7082,13101,35957
06/01/2021,Bronx,B04,58977,33266,15468,7996,19937,47077
06/01/2021,Bronx,B05,57058,31939,16239,8407,17577,45047
06/01/2021,Bronx,B06,41489,22800,13992,6969,11292,34621
06/01/2021,Bronx,B07,49393,28583,12880,6921,17414,39964
06/01/2021,Bronx,B08,19044,11462,3569,1915,8477,16231
06/01/2021,Bronx,B09,58219,32329,15327,7649,21169,47987
06/01/2021,Bronx,B10,21052,12827,4331,2326,9500,18111
06/01/2021,Bronx,B11,27054,15799,6407,3394,11618,23906
06/01/2021,Bronx,B12,42172,23355,13824,6898,14424,36305
06/01/2021,Brooklyn,K01,53124,22027,7608,2980,31665,45484
06/01/2021,Brooklyn,K02,14699,10120,3453,2179,6622,13488
06/01/2021,Brooklyn,K03,45996,25795,10538,5546,18560,37344
06/01/2021,Brooklyn,K04,25863,16595,4477,2552,11073,21066
06/01/2021,Brooklyn,K05,68216,39906,15404,8039,24776,52379
06/01/2021,Brooklyn,K06,11990,7877,2502,1495,5119,10600
06/01/2021,Brooklyn,K07,22458,13885,3406,2176,17583,25303
06/01/2021,Brooklyn,K08,21006,14027,5103,3069,8633,18347
06/01/2021,Brooklyn,K09,21943,13763,4236,2619,10663,18881
06/01/2021,Brooklyn,K10,19086,11418,2338,1444,14707,20699
06/01/2021,Brooklyn,K11,38109,22586,3429,2043,27288,40188
06/01/2021,Brooklyn,K12,63523,21127,11259,2872,43083,59866
06/01/2021,Brooklyn,K13,32430,21608,5295,2701,15280,32348
06/01/2021,Brooklyn,K14,32852,19547,4882,2845,18544,30070
06/01/2021,Brooklyn,K15,28918,18056,3274,1826,18750,30306
06/01/2021,Brooklyn,K16,39754,23090,12353,6259,11819,32577
06/01/2021,Brooklyn,K17,33645,21883,8139,4941,14887,28838
06/01/2021,Brooklyn,K18,31491,19360,5720,3176,16636,28474
06/01/2021,Manhattan,M01,2214,1673,484,361,1521,2725
06/01/2021,Manhattan,M02,3080,2509,376,351,2478,3589
06/01/2021,Manhattan,M03,38166,26167,6858,4493,21244,39026
06/01/2021,Manhattan,M04,13845,10457,3585,2745,6226,13339
06/01/2021,Manhattan,M05,5992,4460,2668,1853,1839,6378
06/01/2021,Manhattan,M06,5508,4705,1275,1147,3157,5926
06/01/2021,Manhattan,M07,17849,13164,4228,2954,8289,17260
06/01/2021,Manhattan,M08,6284,4902,1070,806,4487,7349
06/01/2021,Manhattan,M09,23451,15498,5365,3318,9373,19888
06/01/2021,Manhattan,M10,32100,20847,8144,5136,11935,27062
06/01/2021,Manhattan,M11,44290,27919,11365,6725,16006,37793
06/01/2021,Manhattan,M12,48472,33217,6994,4579,22109,40684
06/01/2021,Queens,Q01,25628,15606,4567,2788,16879,26401
06/01/2021,Queens,Q02,12135,7642,1925,1244,11710,15630
06/01/2021,Queens,Q03,26366,15219,2982,1902,23193,29563
06/01/2021,Queens,Q04,28731,16628,3293,2090,25445,32892
06/01/2021,Queens,Q05,21046,12452,2370,1536,14363,19655
06/01/2021,Queens,Q06,11190,7612,960,661,8701,12740
06/01/2021,Queens,Q07,30056,19665,4362,2975,32481,42986
06/01/2021,Queens,Q08,20012,11868,3183,1942,15708,22835
06/01/2021,Queens,Q09,24995,14435,3715,2247,16137,23688
06/01/2021,Queens,Q10,18519,11138,2662,1609,11752,17422
06/01/2021,Queens,Q11,8230,5352,996,664,9279,11901
06/01/2021,Queens,Q12,48369,29245,10784,6309,24905,43931
06/01/2021,Queens,Q13,23310,14577,4390,2777,14815,23226
06/01/2021,Queens,Q14,30902,17035,8001,3745,13116,28970
06/01/2021,Staten_Island,S01,39842,21361,11536,5372,17159,37180
06/01/2021,Staten_Island,S02,16473,9545,2711,1500,11943,18461
06/01/2021,Staten_Island,S03,11784,7321,1609,954,8607,12767
09/01/2021,Bronx,B01,45886,25219,12666,6661,15268,38196
09/01/2021,Bronx,B02,22894,12777,6797,3425,7075,19232
09/01/2021,Bronx,B03,43820,24360,12683,6804,13232,35317
09/01/2021,Bronx,B04,57144,32414,14697,7624,20058,46037
09/01/2021,Bronx,B05,55572,31063,15300,7956,17771,44013
09/01/2021,Bronx,B06,40506,22265,13523,6738,11561,34163
09/01/2021,Bronx,B07,48108,27865,12516,6716,17436,39209
09/01/2021,Bronx,B08,18512,11165,3480,1846,8458,15994
09/01/2021,Bronx,B09,56721,31566,14721,7344,21345,47279
09/01/2021,Bronx,B10,20830,12583,4262,2290,9523,17911
09/01/2021,Bronx,B11,26601,15551,6293,3328,11696,23596
09/01/2021,Bronx,B12,41311,22781,13595,6805,14638,35987
09/01/2021,Brooklyn,K01,51887,21226,7245,2744,30974,43986
09/01/2021,Brooklyn,K02,14234,9723,3379,2093,6612,13260
09/01/2021,Brooklyn,K03,44542,24700,10184,5295,18646,36690
09/01/2021,Brooklyn,K04,25032,15934,4184,2400,11012,20524
09/01/2021,Brooklyn,K05,65996,38331,14736,7598,24881,51213
09/01/2021,Brooklyn,K06,11574,7558,2469,1451,5123,10468
09/01/2021,Brooklyn,K07,22113,13618,3278,2084,17126,24531
09/01/2021,Brooklyn,K08,20038,13252,4843,2895,8846,18083
09/01/2021,Brooklyn,K09,21319,13217,4005,2451,10763,18579
09/01/2021,Brooklyn,K10,18663,11143,2329,1431,14412,20172
09/01/2021,Brooklyn,K11,37290,22173,3295,1981,26388,38694
09/01/2021,Brooklyn,K12,62060,20581,11128,2792,42002,58240
09/01/2021,Brooklyn,K13,31964,21230,5098,2557,15045,31698
09/01/2021,Brooklyn,K14,32033,19022,4699,2737,18265,29408
09/01/2021,Brooklyn,K15,28319,17676,3078,1716,18358,29435
09/01/2021,Brooklyn,K16,38217,22108,11993,6055,11963,32102
09/01/2021,Brooklyn,K17,32539,21021,7932,4760,15084,28643
09/01/2021,Brooklyn,K18,30279,18650,5485,3034,16586,28001
09/01/2021,Manhattan,M01,2163,1619,490,359,1526,2714
09/01/2021,Manhattan,M02,3001,2435,350,327,2463,3503
09/01/2021,Manhattan,M03,37595,25623,6698,4321,20919,38137
09/01/2021,Manhattan,M04,13471,10112,3521,2669,6379,13240
09/01/2021,Manhattan,M05,5314,4038,2263,1617,1928,5873
09/01/2021,Manhattan,M06,5315,4463,1200,1049,3244,5857
09/01/2021,Manhattan,M07,17466,12899,4187,2907,8392,17122
09/01/2021,Manhattan,M08,6254,4869,1109,834,4517,7318
09/01/2021,Manhattan,M09,22836,15030,5226,3195,9382,19561
09/01/2021,Manhattan,M10,31501,20336,7871,4954,12065,26762
09/01/2021,Manhattan,M11,43557,27261,11083,6527,16072,37410
09/01/2021,Manhattan,M12,47635,32561,6791,4397,22022,40035
09/01/2021,Queens,Q01,24694,15072,4315,2632,16691,25820
09/01/2021,Queens,Q02,11845,7478,1781,1165,11503,15175
09/01/2021,Queens,Q03,25675,14875,2863,1840,22859,28803
09/01/2021,Queens,Q04,27920,16289,3125,2011,25106,32060
09/01/2021,Queens,Q05,20312,12049,2349,1519,14207,19285
09/01/2021,Queens,Q06,11078,7534,920,652,8591,12454
09/01/2021,Queens,Q07,29813,19525,4263,2924,31862,41856
09/01/2021,Queens,Q08,19543,11596,2958,1836,15481,22213
09/01/2021,Queens,Q09,24344,14133,3569,2148,15998,23230
09/01/2021,Queens,Q10,17833,10767,2433,1480,11629,16905
09/01/2021,Queens,Q11,8079,5298,982,661,9142,11610
09/01/2021,Queens,Q12,46518,28034,10257,5887,25146,43283
09/01/2021,Queens,Q13,22468,14081,4174,2635,14839,22773
09/01/2021,Queens,Q14,30008,16427,7367,3408,13334,28408
09/01/2021,Staten_Island,S01,38889,20724,11216,5180,17299,36631
09/01/2021,Staten_Island,S02,16103,9312,2638,1454,11794,18023
09/01/2021,Staten_Island,S03,11504,7175,1585,937,8500,12485
12/01/2021,Bronx,B01,45322,25230,13630,7519,14482,38211
12/01/2021,Bronx,B02,22313,12601,6985,3772,6887,19314
12/01/2021,Bronx,B03,42991,24243,13176,7497,12773,35462
12/01/2021,Bronx,B04,56534,32465,15835,8626,18964,46044
12/01/2021,Bronx,B05,54623,31076,16277,8775,16861,43941
12/01/2021,Bronx,B06,40094,22138,14272,7570,11036,34397
12/01/2021,Bronx,B07,47712,27852,13280,7480,16634,39424
12/01/2021,Bronx,B08,18324,11148,3858,2191,8058,16024
12/01/2021,Bronx,B09,56309,31526,15614,8184,20583,47524
12/01/2021,Bronx,B10,20547,12541,4483,2434,9218,17937
12/01/2021,Bronx,B11,26169,15450,6658,3721,11251,23670
12/01/2021,Bronx,B12,40799,22731,14709,7704,14251,36895
12/01/2021,Brooklyn,K01,50412,20873,7771,2986,29206,43016
12/01/2021,Brooklyn,K02,14129,9688,3634,2289,6281,13246
12/01/2021,Brooklyn,K03,44052,24659,10864,5807,17764,36658
12/01/2021,Brooklyn,K04,24139,15543,4524,2532,10537,20419
12/01/2021,Brooklyn,K05,64357,37847,15672,8422,23733,51325
12/01/2021,Brooklyn,K06,11323,7493,2709,1530,4851,10397
12/01/2021,Brooklyn,K07,21617,13483,3375,2163,15717,23374
12/01/2021,Brooklyn,K08,19624,13116,5233,3099,8540,18075
12/01/2021,Brooklyn,K09,20934,13124,4237,2513,10388,18433
12/01/2021,Brooklyn,K10,18421,11157,2420,1612,13341,19324
12/01/2021,Brooklyn,K11,36864,22144,3428,2189,24351,37172
12/01/2021,Brooklyn,K12,60169,20236,11456,3029,39264,56183
12/01/2021,Brooklyn,K13,31716,21227,5577,3029,14321,31478
12/01/2021,Brooklyn,K14,30916,18579,4954,2927,17364,28908
12/01/2021,Brooklyn,K15,27949,17627,3387,1998,17096,28661
12/01/2021,Brooklyn,K16,37639,22048,12975,6756,11360,32451
12/01/2021,Brooklyn,K17,31875,20881,8548,5247,14694,28912
12/01/2021,Brooklyn,K18,29634,18431,5923,3232,15999,27992
12/01/2021,Manhattan,M01,2091,1594,455,252,1537,2663
12/01/2021,Manhattan,M02,3006,2443,387,286,2344,3413
12/01/2021,Manhattan,M03,37864,25959,7402,4194,19655,37738
12/01/2021,Manhattan,M04,13240,10065,3765,2529,6318,13370
