Month,Borough,Community District (CD),Borough Consultation Total SNAP Recipients,Borough Consultation Total SNAP Households,Borough Consultation Total Cash Assistance Recipients,Borough Consultation Total Cash Assistance Cases,Borough Consultation Total Medicaid Only Enrollees,Borough Consultation Total Medicaid Enrollees
12/01/2018,Brooklyn,K09,20104,12156,3985,2323,13023,21333
12/01/2018,Brooklyn,K10,16550,9611,1790,1158,15555,22074
12/01/2018,Brooklyn,K11,35305,20694,3096,1892,28429,43031
12/01/2018,Brooklyn,K12,59507,19431,10040,2473,43360,61255
12/01/2018,Brooklyn,K13,31486,20837,4683,2343,14848,32285
12/01/2018,Brooklyn,K14,30466,17745,4311,2484,21705,34189
12/01/2018,Brooklyn,K15,27601,17010,3040,1658,18892,31380
12/01/2018,Brooklyn,K16,36343,20081,11997,5745,11297,29663
12/01/2018,Brooklyn,K17,29471,18464,7435,4332,18825,32023
12/01/2018,Brooklyn,K18,27371,16380,5349,2877,17949,29643
12/01/2018,Manhattan,M01,2091,1680,653,539,1538,2930
12/01/2018,Manhattan,M02,2937,2333,275,260,2817,4196
12/01/2018,Manhattan,M03,36068,24511,5871,3934,22811,41785
12/01/2018,Manhattan,M04,11529,8671,2863,2089,6038,12661
12/01/2018,Manhattan,M05,5707,3829,3155,1751,1814,5888
12/01/2018,Manhattan,M06,4983,4314,951,871,3274,5860
12/01/2018,Manhattan,M07,16080,12068,3431,2371,8637,17429
12/01/2018,Manhattan,M08,5490,4367,706,531,4849,7864
12/01/2018,Manhattan,M09,21830,14223,4888,2996,11163,22101
12/01/2018,Manhattan,M10,32765,20732,8648,5226,13073,29454
12/01/2018,Manhattan,M11,41649,25977,9770,5799,17240,38761
12/01/2018,Manhattan,M12,45582,30979,6195,3989,25776,46791
12/01/2018,Queens,Q01,21830,13067,3860,2182,19169,28804
12/01/2018,Queens,Q02,10534,6621,1651,1056,14091,18685
12/01/2018,Queens,Q03,23959,13722,2717,1661,28855,37214
12/01/2018,Queens,Q04,25154,14573,2574,1655,30536,39751
12/01/2018,Queens,Q05,17539,10258,1919,1225,15497,21651
12/01/2018,Queens,Q06,9871,6860,752,521,8091,12536
12/01/2018,Queens,Q07,25456,16689,3412,2316,32068,44061
12/01/2018,Queens,Q08,17087,10305,3125,1963,15201,22779
12/01/2018,Queens,Q09,21275,12212,2974,1806,17524,25473
12/01/2018,Queens,Q10,15609,9359,2443,1426,12946,18875
12/01/2018,Queens,Q11,6319,4312,707,507,8659,11692
12/01/2018,Queens,Q12,42784,25723,10005,5889,25437,42852
12/01/2018,Queens,Q13,18536,11837,3525,2270,15195,22987
12/01/2018,Queens,Q14,28537,15315,7844,3486,11413,26315
12/01/2018,Staten_Island,S01,36386,19289,10953,5085,17837,36633
12/01/2018,Staten_Island,S02,13799,8226,2327,1326,11730,18215
12/01/2018,Staten_Island,S03,9771,6233,1141,709,8324,12279
03/01/2019,Bronx,B01,43127,23086,13147,6789,14227,37376
